,Unnamed: 0,ISBN,Image,Link,Name,Genre,Book-Title,Book-Author,Year-Of-Publication,Publisher_y,Image-URL-S,Image-URL-M,Image-URL-L
32,32,930289218,0930289218.jpg,http://ecx.images-amazon.com/images/I/51cErSDhkDL.jpg,Frank Miller's Ronin,Comics & Graphic Novels,Ronin,Frank Miller,1995,DC Comics,http://images.amazon.com/images/P/0930289218.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0930289218.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0930289218.01.LZZZZZZZ.jpg
33,33,1563896451,1563896451.jpg,http://ecx.images-amazon.com/images/I/51Rs9AhrMIL.jpg,"100 Bullets Vol. 1: First Shot, Last Call",Comics & Graphic Novels,"First Shot, Last Call (100 Bullets, Book 1)",Brian Azzarello,2000,DC Comics,http://images.amazon.com/images/P/1563896451.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1563896451.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1563896451.01.LZZZZZZZ.jpg
34,34,1563899809,1563899809.jpg,http://ecx.images-amazon.com/images/I/51KQa0B4%2BDL.jpg,"Y: The Last Man, Vol. 1: Unmanned",Comics & Graphic Novels,"Unmanned (Y: The Last Man, Book 1)",Brian K. Vaughan,2003,DC Comics,http://images.amazon.com/images/P/1563899809.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1563899809.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1563899809.01.LZZZZZZZ.jpg
35,35,156389629X,156389629X.jpg,http://ecx.images-amazon.com/images/I/41PXMEXSY9L.jpg,The Sandman: The Dream Hunters,Comics & Graphic Novels,Sandman: The Dream Hunters,Neil Gaiman,2000,DC Comics,http://images.amazon.com/images/P/156389629X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/156389629X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/156389629X.01.LZZZZZZZ.jpg
36,36,836218051,0836218051.jpg,http://ecx.images-amazon.com/images/I/61M41hxr0zL.jpg,The Essential Calvin and Hobbes,Comics & Graphic Novels,The Essential Calvin and Hobbes,Bill Watterson,1988,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836218051.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836218051.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0836218051.01.LZZZZZZZ.jpg
37,37,836218833,0836218833.jpg,http://ecx.images-amazon.com/images/I/61KojJRumpL.jpg,Attack of the Deranged Mutant Killer Monster Snow Goons (Calvin & Hobbes),Comics & Graphic Novels,Attack Of The Deranged Mutant Killer Snow Goons,Bill Watterson,1992,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836218833.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836218833.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0836218833.01.LZZZZZZZ.jpg
38,38,836218981,0836218981.jpg,http://ecx.images-amazon.com/images/I/5166KJrt3xL.jpg,The Indispensable Calvin and Hobbes: A Calvin and Hobbes Treasury,Comics & Graphic Novels,The Indispensable Calvin And Hobbes,Bill Watterson,1992,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836218981.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836218981.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0836218981.01.LZZZZZZZ.jpg
39,39,836220889,0836220889.jpg,http://ecx.images-amazon.com/images/I/51tPg5XaTAL.jpg,Calvin and Hobbes,Comics & Graphic Novels,Calvin and Hobbes,Bill Watterson,1987,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836220889.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836220889.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0836220889.01.LZZZZZZZ.jpg
40,40,836220625,0836220625.jpg,http://ecx.images-amazon.com/images/I/51g1nh1b9TL.jpg,The Far Side Gallery,Comics & Graphic Novels,Far Side Gallery,Gary Larson,1984,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836220625.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836220625.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0836220625.01.LZZZZZZZ.jpg
41,41,740721135,0740721135.jpg,http://ecx.images-amazon.com/images/I/51CWrPuTEtL.jpg,The Complete Far Side: 1980-1994,Comics & Graphic Novels,The Complete Far Side,Gary Larson,2003,Andrews McMeel Publishing,http://images.amazon.com/images/P/0740721135.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0740721135.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0740721135.01.LZZZZZZZ.jpg
42,42,836218787,0836218787.jpg,http://ecx.images-amazon.com/images/I/61NrLjJUl4L.jpg,Scientific Progress Goes 'Boink':  A Calvin and Hobbes Collection,Comics & Graphic Novels,Scientific Progress Goes 'Boink':  A Calvin and Hobbes Collection,Bill Watterson,1991,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836218787.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836218787.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0836218787.01.LZZZZZZZ.jpg
43,43,836218620,0836218620.jpg,http://ecx.images-amazon.com/images/I/61Uwk3N-T2L.jpg,Weirdos from Another Planet!,Comics & Graphic Novels,Weirdos From Another Planet!,Bill Watterson,1990,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836218620.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836218620.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0836218620.01.LZZZZZZZ.jpg
44,44,836221362,0836221362.jpg,http://ecx.images-amazon.com/images/I/51ihiNeBXyL.jpg,It's A Magical World: A Calvin and Hobbes Collection,Comics & Graphic Novels,It's A Magical World: A Calvin and Hobbes Collection,Bill Watterson,1996,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836221362.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836221362.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0836221362.01.LZZZZZZZ.jpg
45,45,836218221,0836218221.jpg,http://ecx.images-amazon.com/images/I/510t3rWYO3L.jpg,The Authoritative Calvin and Hobbes (A Calvin And Hobbes Treasury),Comics & Graphic Novels,The Authoritative Calvin and Hobbes (Calvin and Hobbes),Bill Watterson,1990,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836218221.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836218221.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0836218221.01.LZZZZZZZ.jpg
46,46,836218523,0836218523.jpg,http://ecx.images-amazon.com/images/I/61jtG5ToAQL.jpg,The Calvin and Hobbes Lazy Sunday Book,Comics & Graphic Novels,The Calvin &amp, Hobbes Lazy Sunday Book,Bill Watterson,1989,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836218523.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836218523.01.MZZZZZZZ.jpg
47,47,836217691,0836217691.jpg,http://ecx.images-amazon.com/images/I/51rbkmVPLhL.jpg,Homicidal Psycho Jungle Cat: A Calvin and Hobbes Collection,Comics & Graphic Novels,Homicidal Psycho Jungle Cat: A Calvin and Hobbes Collection,Bill Watterson,1994,Andrews McMeel Publishing,http://images.amazon.com/images/P/0836217691.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0836217691.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0836217691.01.LZZZZZZZ.jpg
48,48,671530771,0671530771.jpg,http://ecx.images-amazon.com/images/I/61LBxECOJJL.jpg,How To Draw Comics The Marvel Way,Comics & Graphic Novels,How to Draw Comics the Marvel Way,Stan Lee,1984,Fireside,http://images.amazon.com/images/P/0671530771.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671530771.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671530771.01.LZZZZZZZ.jpg
49,49,1588990842,1588990842.jpg,http://ecx.images-amazon.com/images/I/51JRJV5QB1L.jpg,"Tomie, Volume 1",Comics & Graphic Novels,"Tomie, Volume 1",Junji Ito,2001,ComicsOne,http://images.amazon.com/images/P/1588990842.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1588990842.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1588990842.01.LZZZZZZZ.jpg
50,50,971633819,0971633819.jpg,http://ecx.images-amazon.com/images/I/51elEUdeTcL.jpg,Panel Two: More Comic Book Scripts By Top Writers (Panel One Scripts by Top Comics Writers Tp (New Prtg)),Comics & Graphic Novels,Panel Two: More Comic Book Scripts by Top Writers,Nat Gertler,2003,"About Comics, LLC",http://images.amazon.com/images/P/0971633819.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0971633819.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0971633819.01.LZZZZZZZ.jpg
51,51,156389663X,156389663X.jpg,http://ecx.images-amazon.com/images/I/51SJZQZBNZL.jpg,Kurt Busiek's Astro City: The Tarnished Angel,Comics & Graphic Novels,Astro City: Tarnished Angel,Kurt Busiek,2001,DC Comics,http://images.amazon.com/images/P/156389663X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/156389663X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/156389663X.01.LZZZZZZZ.jpg
52,52,1569719586,1569719586.jpg,http://ecx.images-amazon.com/images/I/61JFG0sNHOL.jpg,The Dark Horse Book of Hauntings,Comics & Graphic Novels,The Dark Horse Book of Hauntings,Scott Allie,2003,Dark Horse Comics,http://images.amazon.com/images/P/1569719586.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1569719586.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1569719586.01.LZZZZZZZ.jpg
53,53,1563897334,1563897334.jpg,http://ecx.images-amazon.com/images/I/513V6N01KQL.jpg,Lucifer Vol. 1: Devil in the Gateway,Comics & Graphic Novels,"Lucifer: Devil in the Gateway, Book 1",Mike Carey,2001,DC Comics,http://images.amazon.com/images/P/1563897334.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1563897334.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1563897334.01.LZZZZZZZ.jpg
54,54,941423646,0941423646.jpg,http://ecx.images-amazon.com/images/I/51SOQAiPF5L.jpg,The New American Splendor Anthology: From Off the Streets of Cleveland,Comics & Graphic Novels,The New American Splendor Anthology,Harvey Pekar,1991,Four Walls Eight Windows,http://images.amazon.com/images/P/0941423646.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0941423646.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0941423646.01.LZZZZZZZ.jpg
55,55,1583940286,1583940286.jpg,http://ecx.images-amazon.com/images/I/512S2MOYORL.jpg,A Child's Life and Other Stories,Comics & Graphic Novels,A Child's Life and Other Stories,Phoebe Louise Adams Gloeckner,2000,North Atlantic Books,http://images.amazon.com/images/P/1583940286.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1583940286.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1583940286.01.LZZZZZZZ.jpg
56,56,316358398,0316358398.jpg,http://ecx.images-amazon.com/images/I/51xfoox2bnL.jpg,Tintin in Tibet (The Adventures of Tintin),Comics & Graphic Novels,Tintin in Tibet (The Adventures of Tintin),Herge,1975,"Little, Brown",http://images.amazon.com/images/P/0316358398.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316358398.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316358398.01.LZZZZZZZ.jpg
57,57,312200404,0312200404.jpg,http://ecx.images-amazon.com/images/I/61M42K88N4L.jpg,Ethan Exposed: Further Adventures From Ethan Green's Unfabulous Social Life,Comics & Graphic Novels,Ethan Exposed : Further Adventures From Ethan Green's Unfabulous Social Life,Eric Orner,1999,St. Martin's Griffin,http://images.amazon.com/images/P/0312200404.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312200404.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312200404.01.LZZZZZZZ.jpg
58,58,312147422,0312147422.jpg,http://ecx.images-amazon.com/images/I/61KE3124TDL.jpg,Ethan Green Chronicles,Comics & Graphic Novels,The Ethan Green Chronicles,Eric Orner,1997,St. Martin's Press,http://images.amazon.com/images/P/0312147422.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312147422.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312147422.01.LZZZZZZZ.jpg
59,59,932379176,0932379176.jpg,http://ecx.images-amazon.com/images/I/5196WYVZC2L.jpg,Dykes to Watch Out for: Cartoons,Comics & Graphic Novels,Dykes to Watch Out for (Dykes to Watch Out for),Alison Bechdel,1986,Firebrand Books,http://images.amazon.com/images/P/0932379176.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0932379176.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0932379176.01.LZZZZZZZ.jpg
60,60,312076355,0312076355.jpg,http://ecx.images-amazon.com/images/I/41NCGQF42VL.jpg,The Mostly Unfabulous Social Life of Ethan Green,Comics & Graphic Novels,The Mostly Unfabulous Social Life of Ethan Green,Eric Orner,1992,St. Martin's Griffin,http://images.amazon.com/images/P/0312076355.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312076355.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312076355.01.LZZZZZZZ.jpg
