,ISBN,Image,Link,Name,Publisher_x,Label,Genre,Book-Title,Book-Author,Year-Of-Publication,Publisher_y,Image-URL-S,Image-URL-M,Image-URL-L,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
2355,393049922,0393049922.jpg,http://ecx.images-amazon.com/images/I/518VBSdL-oL.jpg,The Annotated Wizard of Oz  (Centennial Edition),L. Frank Baum,15,Literature & Fiction,The Annotated Wizard of Oz: A Centennial Edition,L. Frank Baum,2000,W.W. Norton &amp; Company,http://images.amazon.com/images/P/0393049922.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0393049922.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0393049922.01.LZZZZZZZ.jpg,,,,
2356,679601228,0679601228.jpg,http://ecx.images-amazon.com/images/I/41m-80pgiaL.jpg,The Best Short Stories of O. Henry (Modern Library),O. Henry,15,Literature & Fiction,The Best Short Stories of O. Henry (Modern Library),O. HENRY,1994,Modern Library,http://images.amazon.com/images/P/0679601228.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679601228.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679601228.01.LZZZZZZZ.jpg,,,,
2357,679731806,0679731806.jpg,http://ecx.images-amazon.com/images/I/418m%2Bs273qL.jpg,The Professor's House (Vintage Classics),Willa Cather,15,Literature & Fiction,The Professor's House (Vintage Classic),Willa Cather,1990,Vintage Books USA,http://images.amazon.com/images/P/0679731806.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679731806.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679731806.01.LZZZZZZZ.jpg,,,,
2358,486421198,0486421198.jpg,http://ecx.images-amazon.com/images/I/61%2BbLLJ6LlL.jpg,Great American Short Stories (Dover Thrift Editions),,15,Literature & Fiction,Great American Short Stories (Dover Thrift Editions),Paul Negri,2002,Dover Publications,http://images.amazon.com/images/P/0486421198.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486421198.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0486421198.01.LZZZZZZZ.jpg,,,,
2359,316955132,0316955132.jpg,http://ecx.images-amazon.com/images/I/41OgEBnlQ3L.jpg,Marjorie Morningstar,Herman Wouk,15,Literature & Fiction,Marjorie Morningstar,Herman Wouk,1992,Back Bay Books,http://images.amazon.com/images/P/0316955132.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0316955132.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0316955132.01.LZZZZZZZ.jpg,,,,
2360,20199856,0020199856.jpg,http://ecx.images-amazon.com/images/I/41J09vyEcBL.jpg,The Love of the Last Tycoon,F. Scott Fitzgerald,15,Literature & Fiction,LOVE OF THE LAST TYCOON,F. Scott Fitzgerald,1995,Scribner,http://images.amazon.com/images/P/0020199856.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0020199856.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0020199856.01.LZZZZZZZ.jpg,,,,
2361,684824396,0684824396.jpg,http://ecx.images-amazon.com/images/I/51IosQsQLTL.jpg,"The Bible According to Mark Twain: Irreverent Writings on Eden, Heaven, and the Flood by America's Master Satirist",Mark Twain,15,Literature & Fiction,The BIBLE ACCORDING TO MARK TWAIN,Joseph B. Mccullough,1996,Touchstone,http://images.amazon.com/images/P/0684824396.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0684824396.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0684824396.01.LZZZZZZZ.jpg,,,,
2362,142437212,0142437212.jpg,http://ecx.images-amazon.com/images/I/41QFuzbgL-L.jpg,Complete Stories (Penguin Classics),Dorothy Parker,15,Literature & Fiction,Complete Stories,Dorothy Parker,2003,Penguin Books,http://images.amazon.com/images/P/0142437212.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0142437212.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0142437212.01.LZZZZZZZ.jpg,,,,
2363,1883011159,1883011159.jpg,http://ecx.images-amazon.com/images/I/415v4SZxQIL.jpg,"John Steinbeck: The Grapes of Wrath and Other Writings 1936-1941: The Grapes of Wrath, The Harvest Gypsies, The Long Valley, The Log from the Sea of Cortez (Library of America)",John Steinbeck,15,Literature & Fiction,"John Steinbeck: The Grapes of Wrath and Other Writings 1936-1941: The Grapes of Wrath, The Harvest Gypsies, The Long Valley, The Log from the Sea of Cortez (Library of America)",John Steinbeck,1996,Library of America,http://images.amazon.com/images/P/1883011159.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1883011159.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1883011159.01.LZZZZZZZ.jpg,,,,
2364,679725229,0679725229.jpg,http://ecx.images-amazon.com/images/I/41IxTX4%2BFXL.jpg,"Ada, or Ardor: A Family Chronicle",Vladimir Nabokov,15,Literature & Fiction,Ada or Ardor a Family Chronicle (Vintage International),Vladimir Vladimirovich Nabokov,1990,Vintage Books USA,http://images.amazon.com/images/P/0679725229.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679725229.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679725229.01.LZZZZZZZ.jpg,,,,
2365,965881156,0965881156.jpg,http://ecx.images-amazon.com/images/I/51X2WBE630L.jpg,The Diaries of Adam and Eve: Translated by Mark Twain,Mark Twain,15,Literature & Fiction,The Diaries of Adam and Eve,Mark Twain,2002,Fair Oaks Press,http://images.amazon.com/images/P/0965881156.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0965881156.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0965881156.01.LZZZZZZZ.jpg,,,,
2366,679732241,0679732241.jpg,http://ecx.images-amazon.com/images/I/51yJh7CnYJL.jpg,The Sound and the Fury: The Corrected Text,William Faulkner,15,Literature & Fiction,The Sound and the Fury (Vintage International),WILLIAM FAULKNER,1991,Vintage,http://images.amazon.com/images/P/0679732241.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679732241.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679732241.01.LZZZZZZZ.jpg,,,,
2367,517884402,0517884402.jpg,http://ecx.images-amazon.com/images/I/41nBFHTtpAL.jpg,Ideas And Opinions,Albert Einstein,15,Literature & Fiction,Ideas and Opinions,Albert Einstein,1995,Three Rivers Press (CA),http://images.amazon.com/images/P/0517884402.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0517884402.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0517884402.01.LZZZZZZZ.jpg,,,,
2368,486406644,0486406644.jpg,http://ecx.images-amazon.com/images/I/51cAxJ9puIL.jpg,The Wit and Wisdom of Mark Twain: A Book of Quotations (Dover Thrift Editions),Mark Twain,15,Literature & Fiction,Wit and Wisdom of Mark Twain: A Book of Quotations (Dover Thrift Editions),Mark Twain,1999,Dover Publications,http://images.amazon.com/images/P/0486406644.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486406644.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0486406644.01.LZZZZZZZ.jpg,,,,
2369,872860744,0872860744.jpg,http://ecx.images-amazon.com/images/I/51oxyfsgvsL.jpg,Notes of a Dirty Old Man,Charles Bukowski,15,Literature & Fiction,Notes of a Dirty Old Man,Charles Bukowski,1981,City Lights Publishers,http://images.amazon.com/images/P/0872860744.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0872860744.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0872860744.01.LZZZZZZZ.jpg,,,,
2370,940450151,0940450151.jpg,http://ecx.images-amazon.com/images/I/41kdCGxIY4L.jpg,Emerson: Essays and Lectures: Nature: Addresses and Lectures / Essays: First and Second Series / Representative Men / English Traits / The Conduct of Life (Library of America),Ralph Waldo Emerson,15,Literature & Fiction,Ralph Waldo Emerson : Essays and Lectures (Library of America),Ralph Waldo Emerson,1983,Library of America,http://images.amazon.com/images/P/0940450151.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0940450151.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0940450151.01.LZZZZZZZ.jpg,,,,
2371,486275639,0486275639.jpg,http://ecx.images-amazon.com/images/I/51Hfi22rbVL.jpg,Civil Disobedience and Other Essays (Dover Thrift Editions),Henry David Thoreau,15,Literature & Fiction,Civil Disobedience and Other Essays (Dover Thrift Editions),Henry David Thoreau,1993,Dover Publications,http://images.amazon.com/images/P/0486275639.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486275639.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0486275639.01.LZZZZZZZ.jpg,,,,
2372,094045016X,094045016X.jpg,http://ecx.images-amazon.com/images/I/41MkU7lrtVL.jpg,Thomas Jefferson : Writings : Autobiography / Notes on the State of Virginia / Public and Private Papers / Addresses / Letters (Library of America),Thomas Jefferson,15,Literature & Fiction,Thomas Jefferson : Writings : Autobiography / Notes on the State of Virginia / Public and Private Papers / Addresses / Letters (Library of America),Thomas Jefferson,1984,Library of America,http://images.amazon.com/images/P/094045016X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/094045016X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/094045016X.01.LZZZZZZZ.jpg,,,,
2373,486411249,0486411249.jpg,http://ecx.images-amazon.com/images/I/51cbKkaMA3L.jpg,The Declaration of Independence and Other Great Documents of American History 1775-1865 (Dover Thrift Editions),,15,Literature & Fiction,"The Declaration of Independence and Other Great Documents of American History, 1775-1865 (Dover Thrift Editions)",John Grafton,2000,Dover Publications,http://images.amazon.com/images/P/0486411249.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0486411249.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0486411249.01.LZZZZZZZ.jpg,,,,
2374,188184708X,188184708X.jpg,http://ecx.images-amazon.com/images/I/41g%2BgEBNmyL.jpg,Finding Freedom: Writings from Death Row,Jarvis Jay Masters,15,Literature & Fiction,Finding Freedom: Writings from Death Row,Jarvis Jay Masters,1997,Padma Publishing,http://images.amazon.com/images/P/188184708X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/188184708X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/188184708X.01.LZZZZZZZ.jpg,,,,
2375,671865277,0671865277.jpg,http://ecx.images-amazon.com/images/I/51KcHCNhu3L.jpg,Classic Crews: A Harry Crews Reader,Harry Crews,15,Literature & Fiction,Classic Crews : A Harry Crews Reader,Harry Crews,1993,Touchstone,http://images.amazon.com/images/P/0671865277.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0671865277.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0671865277.01.LZZZZZZZ.jpg,,,,
2376,188301106X,188301106X.jpg,http://ecx.images-amazon.com/images/I/41c3fK--16L.jpg,"Robert Frost: Collected Poems, Prose, and Plays (Library of America)",Robert Frost,15,Literature & Fiction,"Robert Frost: Collected Poems, Prose, and Plays (Library of America)",Robert Frost,1995,Library of America,http://images.amazon.com/images/P/188301106X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/188301106X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/188301106X.01.LZZZZZZZ.jpg,,,,
2377,679781420,0679781420.jpg,http://ecx.images-amazon.com/images/I/516%2B-wMBFWL.jpg,Down These Mean Streets,Piri Thomas,15,Literature & Fiction,Down These Mean Streets,PIRI THOMAS,1997,Vintage,http://images.amazon.com/images/P/0679781420.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679781420.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679781420.01.LZZZZZZZ.jpg,,,,
2378,452273870,0452273870.jpg,http://ecx.images-amazon.com/images/I/51mIDWcTm%2BL.jpg,Under the Feet of Jesus,Helena Maria Viramontes,15,Literature & Fiction,Under the Feet of Jesus,Helena Maria Viramontes,1996,Plume Books,http://images.amazon.com/images/P/0452273870.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0452273870.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0452273870.01.LZZZZZZZ.jpg,,,,
2379,679742581,0679742581.jpg,http://ecx.images-amazon.com/images/I/514UQFmeTUL.jpg,Caramelo,Sandra Cisneros,15,Literature & Fiction,Caramelo,SANDRA CISNEROS,2003,Vintage,http://images.amazon.com/images/P/0679742581.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0679742581.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0679742581.01.LZZZZZZZ.jpg,,,,
2380,1877741078,1877741078.jpg,http://ecx.images-amazon.com/images/I/41garpA87XL.jpg,Drink Cultura: Chicanismo,José Antonio Burciaga,15,Literature & Fiction,Drink Cultura: Chicanismo (Joshua Odell Editions),Jose Antonio Burciaga,1993,Joshua Odell Editions,http://images.amazon.com/images/P/1877741078.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1877741078.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1877741078.01.LZZZZZZZ.jpg,,,,
2381,395765285,0395765285.jpg,http://ecx.images-amazon.com/images/I/61zYxUNB1DL.jpg,The Latino Reader: An American Literary Tradition from 1542 to the Present,,15,Literature & Fiction,The Latino Reader : An American Literary Tradition from 1542 to the Present,Harold Augenbraum,1997,Mariner Books,http://images.amazon.com/images/P/0395765285.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0395765285.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0395765285.01.LZZZZZZZ.jpg,,,,
2382,60935677,0060935677.jpg,http://ecx.images-amazon.com/images/I/51tAooR3HTL.jpg,Thirteen Senses: A Memoir,Victor Villasenor,15,Literature & Fiction,Thirteen Senses : A Memoir,Victor Villasenor,2002,Rayo,http://images.amazon.com/images/P/0060935677.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060935677.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060935677.01.LZZZZZZZ.jpg,,,,
2383,927534819,0927534819.jpg,http://ecx.images-amazon.com/images/I/51AR3BBeiHL.jpg,Barefoot Heart: Stories of a Migrant Child,Elva Trevino Hart,15,Literature & Fiction,Barefoot Heart: Stories of a Migrant Child,Elva Trevino Hart,1999,Bilingual Press/Editorial Bilingue (AZ),http://images.amazon.com/images/P/0927534819.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0927534819.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0927534819.01.LZZZZZZZ.jpg,,,,
2384,385315163,0385315163.jpg,http://ecx.images-amazon.com/images/I/51bAug6%2BclL.jpg,Lluvia de Oro,Victor Villasenor,15,Literature & Fiction,Lluvia de oro,VICTOR VILLASENOR,1996,Delta,http://images.amazon.com/images/P/0385315163.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385315163.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385315163.01.LZZZZZZZ.jpg,,,,
2385,375700498,0375700498.jpg,http://ecx.images-amazon.com/images/I/51vpiEPBmqL.jpg,La casa de la laguna,Rosario Ferré,15,Literature & Fiction,La casa de la laguna,ROSARIO FERRE,1997,Vintage,http://images.amazon.com/images/P/0375700498.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0375700498.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0375700498.01.LZZZZZZZ.jpg,,,,
2386,1558850031,1558850031.jpg,http://ecx.images-amazon.com/images/I/51MQ6MMZJML.jpg,"Luis Valdez Early Works: Actos, Bernabe and Pensamiento Serpentino",Luis Valdez,15,Literature & Fiction,"Luis Valdez Early Works: Actos, Bernabe and Pensamiento Serpentino",Luis Valdez,1990,Arte Publico Press,http://images.amazon.com/images/P/1558850031.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/1558850031.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/1558850031.01.LZZZZZZZ.jpg,,,,
2387,312421850,0312421850.jpg,http://ecx.images-amazon.com/images/I/41m39XMNdOL.jpg,A Yellow Raft in Blue Water: A Novel,Michael Dorris,15,Literature & Fiction,A Yellow Raft in Blue Water: A Novel,Michael Dorris,2003,Picador USA,http://images.amazon.com/images/P/0312421850.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0312421850.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0312421850.01.LZZZZZZZ.jpg,,,,
2388,345329015,0345329015.jpg,http://ecx.images-amazon.com/images/I/51DzzXg2-tL.jpg,Seven Arrows,Hyemeyohsts Storm,15,Literature & Fiction,Seven Arrows,HYEMEYOHSTS STORM,1985,Ballantine Books,http://images.amazon.com/images/P/0345329015.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0345329015.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0345329015.01.LZZZZZZZ.jpg,,,,
2389,140173196,0140173196.jpg,http://ecx.images-amazon.com/images/I/51hhgoqi7qL.jpg,Almanac of the Dead,Leslie Marmon Silko,15,Literature & Fiction,Almanac of the Dead: A Novel,Leslie Silko,1992,Penguin Books,http://images.amazon.com/images/P/0140173196.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140173196.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140173196.01.LZZZZZZZ.jpg,,,,
2390,914610007,0914610007.jpg,http://ecx.images-amazon.com/images/I/711T8YH33XL.gif,The Business of Fancydancing:  Stories and Poems,Sherman Alexie,15,Literature & Fiction,The Business of Fancydancing: Stories and Poems,Sherman Alexie,1992,Hanging Loose Press,http://images.amazon.com/images/P/0914610007.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0914610007.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0914610007.01.LZZZZZZZ.jpg,,,,
2391,876875002,0876875002.jpg,http://ecx.images-amazon.com/images/I/514igh8aFPL.jpg,The Book of the Navajo,Raymond Friday Locke,15,Literature & Fiction,The Book of the Navajo,Raymond Friday Locke,2002,Mankind Publishing Company,http://images.amazon.com/images/P/0876875002.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0876875002.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0876875002.01.LZZZZZZZ.jpg,,,,
2392,802138004,0802138004.jpg,http://ecx.images-amazon.com/images/I/513DwSaTiOL.jpg,The Toughest Indian in the World,Sherman Alexie,15,Literature & Fiction,The Toughest Indian in the World,Sherman Alexie,2001,Grove Press,http://images.amazon.com/images/P/0802138004.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0802138004.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0802138004.01.LZZZZZZZ.jpg,,,,
2393,60723521,0060723521.jpg,http://ecx.images-amazon.com/images/I/51f8c9Mvg%2BL.jpg,"Two Old Women, 10th Anniversary Edition: An Alaskan Legend of Betrayal, Courage and Survival",Velma Wallis,15,Literature & Fiction,"Two Old Women : An Alaska Legend of Betrayal, Courage and Survival",Velma Wallis,2004,Perennial,http://images.amazon.com/images/P/0060723521.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0060723521.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0060723521.01.LZZZZZZZ.jpg,,,,
2394,553373684,0553373684.jpg,http://ecx.images-amazon.com/images/I/51X7gCOhRxL.jpg,"Green Grass, Running Water",Thomas King,15,Literature & Fiction,"Green Grass, Running Water",Thomas King,1994,Bantam,http://images.amazon.com/images/P/0553373684.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0553373684.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0553373684.01.LZZZZZZZ.jpg,,,,
2395,155017245X,155017245X.jpg,http://ecx.images-amazon.com/images/I/51XsUgBlkgL.jpg,Daughters of Copper Woman,Anne Cameron,15,Literature & Fiction,Daughters of Copper Woman,Anne Cameron,1981,Harbour Publishing,http://images.amazon.com/images/P/155017245X.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/155017245X.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/155017245X.01.LZZZZZZZ.jpg,,,,
2396,812507452,0812507452.jpg,http://ecx.images-amazon.com/images/I/510vELdkj%2BL.jpg,"People of the Sea (The First North Americans series, Book 5)",W. Michael Gear,15,Literature & Fiction,"People of the Sea (The First North Americans series, Book 5)",W. Michael Gear,1994,Tor Books,http://images.amazon.com/images/P/0812507452.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812507452.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812507452.01.LZZZZZZZ.jpg,,,,
2397,812507436,0812507436.jpg,http://ecx.images-amazon.com/images/I/51N%2B9EWODwL.jpg,"People of the River (The First North Americans series, Book 4)",W. Michael Gear,15,Literature & Fiction,"People of the River (The First North Americans series, Book 4)",W. Michael Gear,1993,Tor Books,http://images.amazon.com/images/P/0812507436.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0812507436.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0812507436.01.LZZZZZZZ.jpg,,,,
2398,385300824,0385300824.jpg,http://ecx.images-amazon.com/images/I/51x2DJE6d-L.jpg,Watch for Me on the Mountain,Forrest Carter,15,Literature & Fiction,Watch for Me on the Mountain/ (Originally Published As : Cry Geronimo),Forrest Carter,1990,Delta Trade Paperbacks,http://images.amazon.com/images/P/0385300824.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0385300824.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0385300824.01.LZZZZZZZ.jpg,,,,
2399,140277714,0140277714.jpg,http://ecx.images-amazon.com/images/I/51ufjir7sIL.jpg,American Indian Trickster Tales (Myths and Legends),Richard Erdoes,15,Literature & Fiction,American Indian Trickster Tales (Myths and Legends),Richard Erdoes,1999,Penguin Books,http://images.amazon.com/images/P/0140277714.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/0140277714.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/0140277714.01.LZZZZZZZ.jpg,,,,
